epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,887.694,0.38499,1.31314,0.46416,0.94296,0,0.95842,0.99,0.99036,0.94534,0.95256,0.97912,0.97444,0.73169,0.29049,1.20101,0.33056,0.91471,0,0.000331111,0.000331111,0.000331111
2,1933.48,0.41908,1.32599,0.51794,0.95872,0,0.91243,0.94616,0.97759,0.8922,0.91299,0.94478,0.96896,0.71539,0.37367,1.2006,0.4895,0.95704,0,0.000651288,0.000651288,0.000651288
3,3061.02,0.43331,1.33319,0.54081,0.96496,0,0.93501,0.94529,0.97563,0.88705,0.9245,0.94756,0.96634,0.67062,0.42721,1.32476,0.49602,1.02165,0,0.000958266,0.000958266,0.000958266
4,4167.43,0.42405,1.32766,0.52062,0.95301,0,0.93986,0.95532,0.98035,0.9084,0.9255,0.94035,0.95702,0.68301,0.38258,1.29105,0.40873,0.98065,0,0.0009406,0.0009406,0.0009406
5,5449.71,0.41985,1.30994,0.50351,0.95599,0,0.9705,0.965,0.98641,0.90636,0.96187,0.95833,0.97175,0.72421,0.35311,1.15224,0.35968,0.94761,0,0.0009208,0.0009208,0.0009208
6,7710.87,0.41239,1.26404,0.47706,0.95504,0,0.97453,0.938,0.95304,0.8973,0.96655,0.92967,0.93614,0.69239,0.33226,1.22223,0.36179,0.93395,0,0.000901,0.000901,0.000901
7,9995.84,0.4049,1.26765,0.46528,0.9438,0,0.98168,0.98106,0.99333,0.959,0.98093,0.96928,0.98214,0.72765,0.28148,1.16989,0.27858,0.88668,0,0.0008812,0.0008812,0.0008812
8,13398.9,0.38514,1.24433,0.4316,0.93746,0,0.9921,0.99043,0.98817,0.96224,0.98016,0.97683,0.96694,0.72882,0.25299,1.10927,0.25865,0.87013,0,0.0008614,0.0008614,0.0008614
9,16260.7,0.38079,1.22258,0.41541,0.93409,0,0.97382,0.96098,0.96751,0.92232,0.96328,0.94594,0.95553,0.73121,0.28384,1.0786,0.30674,0.88594,0,0.0008416,0.0008416,0.0008416
10,19358.8,0.38267,1.2313,0.40889,0.9364,0,0.98047,0.92776,0.92866,0.89659,0.97392,0.92364,0.91896,0.69513,0.26562,1.09324,0.33303,0.87807,0,0.0008218,0.0008218,0.0008218
11,22746.9,0.37558,1.24322,0.3897,0.93377,0,0.98764,0.97357,0.97899,0.94737,0.97931,0.96523,0.9633,0.71848,0.26207,1.07089,0.28836,0.88651,0,0.000802,0.000802,0.000802
12,26451.1,0.3637,1.16039,0.39427,0.92448,0,0.99254,0.93165,0.94318,0.91594,0.98093,0.92001,0.92672,0.71499,0.24593,1.05977,0.26871,0.86725,0,0.0007822,0.0007822,0.0007822
13,29713.9,0.35442,1.17489,0.37073,0.92686,0,0.97877,0.99045,0.99377,0.94758,0.9706,0.98212,0.98195,0.75265,0.26911,1.00442,0.27598,0.87452,0,0.0007624,0.0007624,0.0007624
14,33831.7,0.349,1.14463,0.35744,0.92411,0,0.99556,1,0.995,0.97957,0.98893,0.99333,0.98581,0.75817,0.21246,1.01325,0.2135,0.84489,0,0.0007426,0.0007426,0.0007426
15,856.082,0.34783,1.10982,0.35638,0.91889,0,0.99373,0.98667,0.9935,0.97681,0.98672,0.98025,0.98491,0.7609,0.22492,1.00902,0.24088,0.84877,0,0.0007228,0.0007228,0.0007228
16,1800.19,0.35322,1.09888,0.35466,0.92385,0,0.99786,0.99939,0.995,0.97724,0.98954,0.99105,0.98286,0.77239,0.21666,0.97911,0.21822,0.85173,0,0.000703,0.000703,0.000703
17,2740.7,0.34619,1.08789,0.33718,0.92072,0,0.99259,0.99504,0.99427,0.98167,0.98594,0.98837,0.9853,0.75598,0.20998,0.9998,0.20964,0.83692,0,0.0006832,0.0006832,0.0006832
18,3804.28,0.32813,1.07868,0.32501,0.91043,0,0.99658,0.99727,0.99495,0.98454,0.98821,0.98894,0.98386,0.77449,0.21048,0.96584,0.21763,0.83889,0,0.0006634,0.0006634,0.0006634
19,5060.76,0.33344,1.06682,0.33065,0.91919,0,0.99817,1,0.995,0.98683,0.9915,0.99333,0.98661,0.7716,0.19266,0.93106,0.20369,0.8262,0,0.0006436,0.0006436,0.0006436
20,6292.49,0.32649,1.03718,0.31622,0.91416,0,0.99626,0.99935,0.99498,0.98533,0.98793,0.99103,0.98294,0.78075,0.19864,0.94882,0.20289,0.83066,0,0.0006238,0.0006238,0.0006238
21,7546.65,0.31946,1.01766,0.30592,0.90656,0,0.99881,1,0.995,0.981,0.99047,0.99167,0.98437,0.76917,0.19957,0.99714,0.19288,0.83327,0,0.000604,0.000604,0.000604
22,943.473,0.30927,0.97415,0.29078,0.90128,0,0.99445,1,0.99493,0.98487,0.98946,0.995,0.98808,0.78765,0.18134,0.92376,0.19104,0.82279,0,0.0005842,0.0005842,0.0005842
23,1976.89,0.31757,0.96704,0.29146,0.90471,0,0.99536,0.99667,0.99347,0.98544,0.99037,0.99167,0.98579,0.77488,0.17782,0.91849,0.19533,0.82011,0,0.0005644,0.0005644,0.0005644
24,3109.62,0.30901,0.95771,0.28221,0.90398,0,0.9952,0.99643,0.99433,0.98541,0.99189,0.9931,0.9893,0.78273,0.17776,0.91421,0.18153,0.82361,0,0.0005446,0.0005446,0.0005446
25,5198.95,0.2982,0.9409,0.27178,0.8959,0,0.99444,1,0.99497,0.98652,0.98614,0.99167,0.9841,0.79387,0.1777,0.88402,0.17471,0.82226,0,0.0005248,0.0005248,0.0005248
26,6636.78,0.30109,0.93196,0.28031,0.90213,0,0.99526,0.9988,0.99498,0.98869,0.99022,0.99381,0.98721,0.7896,0.17019,0.91155,0.16505,0.81515,0,0.000505,0.000505,0.000505
27,8092.14,0.29526,0.89759,0.26346,0.89982,0,0.99351,1,0.99488,0.98777,0.98688,0.99333,0.98627,0.79381,0.17357,0.87515,0.17423,0.82116,0,0.0004852,0.0004852,0.0004852
28,9884.76,0.29201,0.89262,0.26011,0.89247,0,0.99899,1,0.995,0.98974,0.99066,0.99167,0.98417,0.78679,0.16729,0.90046,0.1761,0.81739,0,0.0004654,0.0004654,0.0004654
29,11500.5,0.30182,0.95043,0.27832,0.90023,0,0.99772,1,0.995,0.98794,0.99273,0.995,0.98879,0.7863,0.16968,0.87736,0.1687,0.81908,0,0.0004456,0.0004456,0.0004456
