epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,619.593,0.50974,1.78797,0.84061,0.98776,0,0.12807,0.60667,0.11097,0.05043,0.04466,0.165,0.01253,0.00262,1.6192,11.668,5.64453,2.39368,0,0.000662222,0.000662222,0.000662222
2,1381.59,0.60268,1.70024,0.54545,1.0165,0,0.90545,0.83,0.86211,0.70969,0.84162,0.80595,0.79146,0.48887,0.66396,1.86845,0.72057,1.19325,0,0.00124118,0.00124118,0.00124118
3,2242.82,0.5892,1.67383,0.51309,1.00825,0,0.91321,0.92947,0.95195,0.78891,0.90522,0.935,0.95225,0.65182,0.6041,1.36473,0.80035,1.13315,0,0.00173214,0.00173214,0.00173214
4,3155.24,0.54116,1.56631,0.44971,0.98623,0,0.93913,0.95667,0.98571,0.88152,0.92106,0.93333,0.96616,0.66905,0.44857,1.4378,0.54897,1.02451,0,0.001604,0.001604,0.001604
5,4092.69,0.50578,1.55059,0.40793,0.97032,0,0.97149,0.96533,0.97345,0.91816,0.95678,0.95936,0.95938,0.69802,0.33746,1.40848,0.38531,0.91429,0,0.001472,0.001472,0.001472
6,4845.78,0.38965,1.33589,0.37131,0.95644,0,0.96555,0.98083,0.99265,0.88293,0.95406,0.96906,0.9759,0.63697,0.42482,1.34689,0.45057,0.967,0,0.00134,0.00134,0.00134
7,5612.81,0.34429,1.28847,0.32845,0.92632,0,0.98843,0.99662,0.9944,0.95709,0.97851,0.98662,0.98051,0.72314,0.2955,1.2455,0.31325,0.8684,0,0.001208,0.001208,0.001208
8,6445.55,0.29176,1.22041,0.2755,0.8831,0,0.9933,0.98765,0.985,0.95408,0.98659,0.98099,0.98308,0.69963,0.26032,1.12952,0.25785,0.84639,0,0.001076,0.001076,0.001076
9,7363.09,0.2726,1.19115,0.25351,0.87209,0,0.99765,1,0.99498,0.9785,0.98767,0.99,0.98258,0.71142,0.23848,1.19965,0.22898,0.8333,0,0.000944,0.000944,0.000944
10,8311.65,0.23759,1.15121,0.22719,0.844,0,0.99989,1,0.995,0.98793,0.9932,0.99333,0.99347,0.71963,0.20374,1.11589,0.2036,0.81612,0,0.000812,0.000812,0.000812
11,9314.18,0.21905,1.10938,0.20741,0.83258,0,0.99998,1,0.995,0.99129,0.99498,0.995,0.99438,0.74914,0.17202,1.06116,0.17149,0.80326,0,0.00068,0.00068,0.00068
12,10309.2,0.20142,1.06378,0.19009,0.8241,0,0.99961,1,0.995,0.99263,0.99462,0.995,0.99396,0.73134,0.17305,1.03937,0.16979,0.80246,0,0.000548,0.000548,0.000548
13,29747.7,0.17663,1.00844,0.17139,0.81367,0,0.99986,1,0.995,0.99241,0.99653,0.99667,0.99447,0.74688,0.14162,0.99309,0.15218,0.78841,0,0.000416,0.000416,0.000416
14,30969.1,0.16033,0.97063,0.1531,0.80401,0,0.9999,1,0.995,0.99493,0.99657,0.99667,0.99379,0.7495,0.12446,0.98874,0.12829,0.78487,0,0.000284,0.000284,0.000284
15,32171.9,0.14221,0.93414,0.14064,0.80712,0,0.99991,1,0.995,0.99499,0.99491,0.995,0.99393,0.74604,0.11044,0.95528,0.11984,0.78152,0,0.000152,0.000152,0.000152
